No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
201,CAS CONSTRUCTION,Cork County,"Sisters of Mercy Church and Convent at Knocknamuck, Bantry Bay",16,Cluid Housing Association,"Stage 1 approved Q3-2016, outline design and costs are being prepared.",,,,,
202,CAS CONSTRUCTION,Cork County,"Cuan Barra, Kilmore, Ballingeary",3,Coiste Tithe Uibh Laoire Teoranta,,,,,Q1-2018,
203,CAS CONSTRUCTION,Cork County,"Caim Hill, Townlands, Rosscarbery",9,Rosscarbery Housing Association Ltd,,,,,Q1-2018,
204,CAS CONSTRUCTION,Cork County,"Avenue House, Bandon",9,Bandon Geriatric ? Community Council,,,,,,Q1-2018
205,CAS CONSTRUCTION,Cork County,"Church View, Love Lane, Charleville",4,Charleville Care Project Ltd,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
206,CAS CONSTRUCTION,Cork County,"Fellowship House, Togher",31,Tabor Lodge Addiction ? Housing Services Ltd,,,,,,Q2-2018
207,CAS CONSTRUCTION,Cork County,"Baile Bhuire, Macroom",3,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
208,CAS CONSTRUCTION,Cork County,"Charleville, Church View, Love Lane, Charleville",8,Charleville Care Project Ltd,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
209,CALF Construction,DLR,"Abbeyview, Monkstown, Co. Dublin (Phase 1)",11,Cluid Housing ,,,,Q3-2018,,
210,CALF Construction,DLR,"Enniskerry Road, Sandyford, Dublin 18 (Phase 1)",105,Túath Housing Association Ltd,,,,Q1-2017,,
211,CALF Turnkey,DLR,"Ardilea Crescent, Clonskeagh, Dublin 14 (Phase 1)*",8,Túath Housing Association Ltd,,,,,Q3-2017,
212,CALF Turnkey,DLR,"Bishops Gate, Kilternan, Dublin 18  (Phase 1)*",4,Cluid Housing ,,,,,,Q3-2018
213,CALF Turnkey,DLR,"Bishops Gate, Kilternan, Dublin 18  (Phase 2)*",2,Cluid Housing ,,,,,,Q3-2018
214,CALF Turnkey,DLR,"Block C, Abbey Road, Monkstown, (Phase 1)*",3,Fold Housing Association Ireland Ltd,,,,,Q1-2017,
215,CALF Turnkey,DLR,"Clays Farm, Ballyogan Road (Phase 1)  (Phase 1)*",44,The Iveagh Trust,,,,,Q3-2017,
216,CALF Turnkey,DLR,"Hyde Road, Belmont, Stepaside, Co. Dublin (Phase 1)*",8,Respond,,,,,Q1-2016,
217,CALF Turnkey,DLR,"Our Ladys Grove, Goatstown, Dublin 14 (Phase 1)*",2,Respond,,,,,Q1-2018,
218,CALF Turnkey,DLR,"Stillorgan Gate, Kilmacud Road Upper, Co Dublin  (Phase 1)*",4,Cluid Housing ,,,,,,Q4-2017
219,CALF Turnkey,DLR,"Stillorgan Gate, Kilmacud Road Upper, Stillorgan, Co. Dublin (Phase 1)*",2,Cluid Housing ,,,,,Q1-2017,
220,CALF Turnkey,DLR,"The Avenue, Glenside,  Carrickmines Green, Dublin 18 (Phase 1)*",5,Fold Housing Association Ireland Ltd,,,,,Q2-2017,
221,CALF Turnkey,DLR,"Woodbank, Dublin Rd, Shankill, Co Dublin  (Phase 1)*",4,Cluid Housing ,,,,,,Q3-2017
222,SHIP CONSTRUCTION TURNKEY,DLR,"Hazelbrook, Nutgrove, Churchtown",28,*N/A,,,,,,Q4-2017
223,SHIP CONSTRUCTION TURNKEY,DLR,"Dunedin Terrace., Monkstown, Co. Dublin",14,*N/A,,,,"Stage 4 approved Q2-2018, the scheme is fully approved.",,
224,SHIP CONSTRUCTION RAPID,DLR,Glenamuck/Stillorgan (Rockville Drive),14,*N/A,,"Stage 2 approved Q4-2016, full design/tender being prepared.",,,,
225,SHIP CONSTRUCTION RAPID,DLR,George's Place,12,*N/A,,,,,,Q2-2018
226,SHIP CONSTRUCTION,DLR,"Park House, 66 George's Street, Dun Laoghaire",4,*N/A,,"Stage 2 approved Q4-2016, full design/tender being prepared.",,,,
227,SHIP CONSTRUCTION,DLR,"132 Pottery Road, Dun Laoghaire",4,*N/A,,,,,,Q3-2018
228,SHIP CONSTRUCTION,DLR,"33,35, & 37 Temple Road",3,*N/A,,,,,,Q2-2018
229,SHIP CONSTRUCTION,DLR,Assistant Harbour Master House,2,*N/A,,,,,,Q3-2017
230,SHIP CONSTRUCTION,DLR,The Brambles Park Close Sallynoggin,10,*N/A,,,,,,Q2-2018
231,SHIP CONSTRUCTION,DLR,49 The Mews Sallynoggin Park,4,*N/A,,,,,,Q4-2017
232,SHIP CONSTRUCTION,DLR,Shanganagh Park Lodge,1,*N/A,,,,,,Q2-2016
233,SHIP CONSTRUCTION,DLR,Rosemount Court,44,*N/A,,,,,Q1-2017,
234,SHIP CONSTRUCTION,DLR,Broadford Rise,21,*N/A,,,,,Q3-2017,
235,SHIP CONSTRUCTION,DLR,Fitzgerald Park,50,*N/A,,,,,Q4-2016,
236,SHIP CONSTRUCTION,DLR,Rochestown House (Phase 3),14,*N/A,,,,,,Q3-2018
237,SHIP CONSTRUCTION,DLR,St Michael's Terrace,4,*N/A,,,,,,Q3-2017
238,SHIP CONSTRUCTION,DLR,Clontibret House,4,*N/A,,,,,,Q4-2016
239,SHIP CONSTRUCTION,DLR,Cromlech Close,15,*N/A,,,,,,Q3-2016
240,SHIP CONSTRUCTION,DLR,Rochestown House (Phase 2),34,*N/A,,,,,,Q3-2016
241,SHIP CONSTRUCTION,DLR,"41 Ballyogan Ave., Ballyogan, Co. Dublin",2,*N/A,,"Stage 2 approved Q4-2017, full design/tender being prepared.",,,,
242,SHIP CONSTRUCTION,DLR,"St. Laurence?s Park, Stillorgan, Co. Dublin",77,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
243,CAS CONSTRUCTION,DLR,"30 Obelisk Walk, Blackrock",4,St. John of God Housing Association Ltd,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
244,CALF Construction,Donegal,Post Tender - Ernedale Ballyshannon (Phase 1),11,Cluid Housing ,,,,,Q3-2017,
245,CALF Construction,Donegal,"Raphoe Road, Castlefinn, Co. Donegal (Phase 1)",10,Habinteg Housing Association (Ireland) Ltd,,,,Q2-2018,,
246,CALF Turnkey,Donegal,"1-46 Ardrawer, Kiltoy, Letterkenny, Co. Donegal (Phase 1)",46,Cluid Housing ,,,,Q1-2018,,
247,CALF Turnkey,Donegal,"Ballaghderg, Letterkenny, Co Donegal  (Phase 1)*",33,Respond,,,,,Q4-2017,
248,CALF Turnkey,Donegal,"Forge Road, Donegal (Phase 1)",4,Cluid Housing ,,,,,,Q3-2016
249,SHIP CONSTRUCTION TURNKEY,Donegal,"Gleann Na Greine, Mullindrait, Stranorlar",21,*N/A,,,,,,Q2-2018
250,SHIP CONSTRUCTION TURNKEY,Donegal,"Crievesmith, Letterkenny (Phase 1)",16,*N/A,,,,,Q2-2018,
251,SHIP CONSTRUCTION TURNKEY,Donegal,"Radharc an Chuain, Ramelton",20,*N/A,,,,"Stage 4 approved Q2-2018, the scheme is fully approved.",,
252,SHIP CONSTRUCTION TURNKEY,Donegal,"Crievesmith, Letterkenny (Phase 2)",18,*N/A,,,,,Q2-2018,
253,SHIP CONSTRUCTION,Donegal,"Meadow Hill, Raphoe",11,*N/A,,"Stage 2 approved Q1-2017, full design/tender being prepared.",,,,
254,SHIP CONSTRUCTION,Donegal,"Radharc na Tra Breige, Malin (Phase 3)",8,*N/A,,"Stage 2 approved Q2-2017, full design/tender being prepared.",,,,
255,SHIP CONSTRUCTION,Donegal,"Cois Abhainn, St Johnston (Phase 2)",6,*N/A,,"Stage 2 approved Q2-2017, full design/tender being prepared.",,,,
256,SHIP CONSTRUCTION,Donegal,"Emerald Drive, Killybegs (Phase 6)",9,*N/A,,,,"Stage 4 approved Q2-2018, the scheme is fully approved.",,
257,SHIP CONSTRUCTION,Donegal,"Long Lane, Letterkenny",29,*N/A,,"Stage 2 approved Q1-2017, full design/tender being prepared.",,,,
258,SHIP CONSTRUCTION,Donegal,"Rockytown, Buncrana (Phase 1)",21,*N/A,,"Stage 2 approved Q4-2016, full design/tender being prepared.",,,,
259,SHIP CONSTRUCTION,Donegal,Manorcunningham (Phase 2),8,*N/A,,,,,Q3-2017,
260,SHIP CONSTRUCTION,Donegal,"Abbots Wood, Carndonagh (Phase 2)",4,*N/A,,,,,Q3-2017,
261,SHIP CONSTRUCTION,Donegal,Ardara (Phase 3),8,*N/A,,,,,,Q2-2017
262,SHIP CONSTRUCTION,Donegal,Newtoncunningham,7,*N/A,,,,,Q1-2017,
263,SHIP CONSTRUCTION,Donegal,"Railway Park, Drumrooske, Donegal Town",24,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
264,SHIP CONSTRUCTION,Donegal,"Ard Connell, Ardara (SRD)",1,*N/A,,,,,,Q1-2017
265,SHIP CONSTRUCTION,Donegal,Manorcunningham (Phase 1),2,*N/A,,,,,,Q2-2017
266,CAS CONSTRUCTION,Donegal,"Glenrowan House, Drumkeen, Stranorlar",5,Apex Housing Association,,"Stage 2 approved Q3-2017, full design/tender being prepared.",,,,
267,CAS CONSTRUCTION,Donegal,"Willowbrook, Glencar, Letterkenny",40,Apex Housing Association,"Stage 1 approved Q4-2016, outline design and costs are being prepared.",,,,,
268,CAS CONSTRUCTION,Donegal,"Meenmore, Dungloe",15,County Donegal Parents and Friends Housing Association Ltd,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
269,CAS CONSTRUCTION,Donegal,"Railway Park, Drumrooske, Donegal Town",10,Oaklee Housing Trust,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
270,CAS CONSTRUCTION,Donegal,"Dunshenny House, Derry Road, Carndonagh",5,Apex Housing Association,,,,,,Q2-2018
271,CAS CONSTRUCTION,Donegal,"Raphoe Road, Castlefinn",20,Habinteg Housing Association (Ireland) Ltd,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
272,CALF Construction,Dublin City,"1-2 Mountjoy Square North, Dublin 1 (Phase 1)",31,Respond,,,,,Q2-2018,
273,CALF Construction,Dublin City,"84 North King Street, Dublin 7  (Phase 1)",30,Co-operative Housing Ireland,,,,Q4-2017,,
274,CALF Construction,Dublin City,"Annamore Court, Ballyfermot (Phase 1)",70,The Iveagh Trust,,,,,,Q2-2017
275,CALF Construction,Dublin City, Ballygall Road East phase 2 (Phase 1),11,Fold Housing Association Ireland Ltd,,,,,,Q1-2016
276,CALF Construction,Dublin City,"Bethany House, Gilford Road, Sandymount, Dublin 4 (Phase 1)",62,Cluid Housing ,,,,Q2-2018,,
277,CALF Construction,Dublin City,"Block A, Jamestown Court, Dublin 8 (Phase 1)",9,ALONE,,,,Q2-2018,,
278,CALF Construction,Dublin City,"Broome Lodge,
Dunmanus Court, Cabra (Phase 1)",33,Cluid Housing ,,,,,,Q4-2017
279,CALF Construction,Dublin City,"Harolds Cross, Dublin 6 (Phase 1)",28,Focus Ireland,,,,,,Q4-2016
280,CALF Construction,Dublin City,"Orchard Lawns, Ballyfermot (Phase 1)",36,Co-operative Housing Ireland,,,,,,Q3-2018
281,CALF Construction,Dublin City,"Orchard Lawns, Ballyfermot (Phase 2)",36,Co-operative Housing Ireland,,,,,Q2-2017,
282,CALF Construction,Dublin City,Post Tender - 5-6 Johns Lane West Dublin 8 (Phase 1),31,Focus Ireland,,,,,Q2-2017,
283,CALF Construction,Dublin City,"POST TENDER - Poplar Row, Ballybough, Dublin 3
 (Phase 1)",29,Oaklee Housing ,,,,,Q3-2018,
284,CALF Construction,Dublin City,"Post Tender - Wad River Close Phase 2, Ballymun, Dublin 9  (Phase 1)",9,Cluid Housing ,,,,Q3-2018,,
285,CALF Construction,Dublin City,"POST TENDER Dolphin Park, Rialto, Dublin 8 (Phase 1)",43,Fold Housing Association Ireland Ltd,,,,,Q2-2018,
286,CALF Construction,Dublin City,"Revised - Dominic Place, Dublin (Phase 1)",9,The Paddy McGrath Housing Project,,,,Q3-2018,,
287,CALF Construction,Dublin City,"Revised - St Mary?s Mansions, Dublin 1 (Phase 1)",80,Cluid Housing ,,,,,Q4-2017,
288,CALF Construction,Dublin City,"Revised Post Tender - Raleigh Square, Crumlin (Phase 1)",33,Túath Housing Association Ltd,,,,,Q2-2017,
289,CALF Construction,Dublin City,"Richmond Road, Dublin 9 (Phase 1)",40,Co-operative Housing Ireland,,,,,Q2-2017,
290,CALF Turnkey,Dublin City,"11 - 13 Crumlin Village, Dublin 12 (Phase 1)",3,Cluid Housing ,,,,,,Q2-2017
291,CALF Turnkey,Dublin City,"11 - 13 Crumlin Village, Dublin 12 (Phase 2)",2,Cluid Housing ,,,,,,Q3-2017
292,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 1)",14,Túath Housing Association Ltd,,,,,,Q4-2016
293,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 2)",21,Túath Housing Association Ltd,,,,,,Q1-2017
294,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 3)",10,Túath Housing Association Ltd,,,,,,Q2-2017
295,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 4)",3,Túath Housing Association Ltd,,,,,,Q3-2017
296,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 5)",1,Túath Housing Association Ltd,,,,,Q3 2015,
297,CALF Turnkey,Dublin City,"Balfe Road, Crumlin, Dublin 12 (Phase 1)*",16,Respond,,,,,Q4-2017,
298,CALF Turnkey,Dublin City,"Block A Northbank, Castleforbes, Dublin 1  (Phase 1)*",26,T£ath Housing Association Ltd,,,,,,Q2-2018
299,CALF Turnkey,Dublin City,"Camac Place, Bluebell, Dublin 12  (Phase 1)",5,Oaklee Housing ,,,,Q2-2017,,
300,CALF Turnkey,Dublin City,"Chanel College, Coolock Village, Malahide Road, Dublin 5  (Phase 1)*",16,Respond,,,,,,Q4-2017
301,CALF Turnkey,Dublin City,"Clongriffin, Dublin 13 (Phase 1)*",84,The Iveagh Trust,,,,,Q3-2017,
302,CALF Turnkey,Dublin City,"Merville Court, Merville Avenue, Fairview (Phase 1)",5,Co-operative Housing Ireland,,,,,,Q1-2017
303,CALF Turnkey,Dublin City,"Millrose House, Bluebell Avenue, Dublin 12 (Phase 1)",8,Cluid Housing ,,,,,,Q4-2017
304,CALF Turnkey,Dublin City,"Old School House Lane, Magenta Crescent, Santry, Dublin 9 (Phase 1)",8,Túath Housing Association Ltd,,,,Q3-2018,,
305,CALF Turnkey,Dublin City,"St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",97,Fold Housing Association Ireland Ltd,,,,,Q1-2017,
306,CALF Turnkey,Dublin City,"Stormanstown Hall, Ballymun Road, (revised) (Phase 1)",42,Oaklee Housing ,,,,,,Q3-2018
307,CALF Turnkey,Dublin City,"Thornwood, Beaumont (Phase 1)",18,Túath Housing Association Ltd,,,,,,Q2-2016
308,CALF Turnkey,Dublin City,"Thornwood, Beaumont (Phase 2)",28,Túath Housing Association Ltd,,,,,,Q4-2016
309,CALF Turnkey,Dublin City,"Thornwood, Beaumont (Phase 3)",14,Túath Housing Association Ltd,,,,,,Q1-2017
310,CALF Turnkey,Dublin City,"Thornwood, Beaumont (Phase 4)",8,Túath Housing Association Ltd,,,,,,Q1-2017
311,CALF Turnkey,Dublin City,"Tonlegee Road, Dublin 5  (Phase 1)",47,Fold Housing Association Ireland Ltd,,,,,Q4-2017,
312,SHIP CONSTRUCTION TURNKEY,Dublin City,Prospecthill,58,*N/A,,,,,,Q4-2017
313,SHIP CONSTRUCTION RAPID,Dublin City,"Belcamp H, Dublin 17",38,*N/A,,,,,,Q4-2017
314,SHIP CONSTRUCTION RAPID,Dublin City,"Cherry Orchard, Ballyfermot",24,*N/A,,,,,,Q4-2017
315,SHIP CONSTRUCTION RAPID,Dublin City,"Mourne Road, Drimnagh",29,*N/A,,,,,,Q4-2017
316,SHIP CONSTRUCTION RAPID,Dublin City,"St Helena's Drive, Finglas",39,*N/A,,,,,,Q3-2017
317,SHIP CONSTRUCTION RAPID,Dublin City,"Poppintree, Ballymun",22,*N/A,,,,,,Q2-2016
318,SHIP CONSTRUCTION RAPID,Dublin City,"Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Cherry Orchard Site Ph1",53,*N/A,,,,,Q4-2017,
319,SHIP CONSTRUCTION RAPID,Dublin City,"Belcamp C, Dublin 17",16,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
320,SHIP CONSTRUCTION RAPID,Dublin City,"Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Rathvilly Drive site",13,*N/A,,,,,,Q3-2018
321,SHIP CONSTRUCTION RAPID,Dublin City,"Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Woodbank Drive site",3,*N/A,,,,,,Q3-2018
322,SHIP CONSTRUCTION RAPID,Dublin City,"Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Cherry Orchard site Ph 2",19,*N/A,,,,,Q3-2018,
323,SHIP CONSTRUCTION,Dublin City,Hampton Wood,25,*N/A,,,,,,Q4-2016
324,SHIP CONSTRUCTION,Dublin City,"Belcamp B, Dublin 17",12,*N/A,,"Stage 2 approved Q3-2015, full design/tender being prepared.",,,,
325,SHIP CONSTRUCTION,Dublin City,"Bunratty Road Phase 1c, Dublin 17",70,*N/A,"Stage 1 approved Q2-2015, outline design and costs are being prepared.",,,,,
326,SHIP CONSTRUCTION,Dublin City,"Cornamona, Ballyfermot, Dublin 12",61,*N/A,,,"Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.",,,
327,SHIP CONSTRUCTION,Dublin City,"Infirmary Road, Dublin 7",38,*N/A,"Stage 1 approved Q2-2015, outline design and costs are being prepared.",,,,,
328,SHIP CONSTRUCTION,Dublin City,"North King Street, - Sean Foster Place, Dublin 7",30,*N/A,,,,,Q2-2018,
329,SHIP CONSTRUCTION,Dublin City,"Ballybough Road, Dublin 1",7,*N/A,,,,,Q1-2017,
330,SHIP CONSTRUCTION,Dublin City,"St. Finbar's Court, Kilkieran Road, Dublin 7",46,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
331,SHIP CONSTRUCTION,Dublin City,Priory Hall Phase 1,9,*N/A,,,,,,Q1-2017
332,SHIP CONSTRUCTION,Dublin City,Priory Hall Phase 2,26,*N/A,,,,,Q2-2017,
333,REGENERATION,Dublin City,St. Teresa's Gardens,54,*N/A,"Stage 1 approved Q3-2013, outline design and costs are being prepared.",,,,,
334,REGENERATION,Dublin City,"Dolphin House, Dublin 8 (Phase 1)",100,*N/A,,,,,,Q3-2018
335,REGENERATION,Dublin City,Dominick Street (East side),72,*N/A,,,"Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.",,,
336,REGENERATION,Dublin City,Sackville Avenue Cottages,12,*N/A,"Stage 1 approved Q2-2016, outline design and costs are being prepared.",,,,,
337,REGENERATION,Dublin City,O'Devaney Gardens,56,*N/A,,,,,Q3-2018,
338,REGENERATION,Dublin City,Charlemont,79,*N/A,,,,,,Q4-2017
339,REGENERATION,Dublin City,Maxwell Road,9,*N/A,,,,,,Q2-2016
340,REGENERATION,Dublin City,"Buttercup, Darndale",19,*N/A,,,,,,Q4-2017
341,REGENERATION,Dublin City,"Buttercup, Darndale",9,*N/A,,,,,,Q1-2018
342,REGENERATION,Dublin City,"Buttercup, Darndale",7,*N/A,,,,,,Q2-2018
343,CAS CONSTRUCTION,Dublin City,"38/39 Bolton Street, Dublin 1",8,Arlington Novas Ireland Ltd,"Stage 1 approved Q4-2017, outline design and costs are being prepared.",,,,,
344,CAS CONSTRUCTION,Dublin City,Beech Hill,19,Royal Hospital Donnybrook Voluntary Housing Association Ltd,,,,,Q4-2017,
345,CAS CONSTRUCTION,Dublin City,"Ellis Court, Dublin",23,Túath Housing Association Ltd,,"Stage 2 approved Q3-2017, full design/tender being prepared.",,,,
346,CAS CONSTRUCTION,Dublin City,"Martanna House, High Park, Grace Park Road,Dublin 9",8,Respond,,,,,Q4-2017,
347,CAS CONSTRUCTION,Dublin City,"1 - 2 Rafter's Lane, Dublin 12",11,Walkinston Housing Association Ltd (WALK),,,,,Q3-2018,
348,CAS CONSTRUCTION,Dublin City,180-187 Townsend Street,18,Peter McVerry Trust Ltd,,"Stage 2 approved Q3-2017, full design/tender being prepared.",,,,
349,CAS CONSTRUCTION,Dublin City,"Old Kilmainham Road, Dublin 8",11,Arlington Novas Ireland Ltd,"Stage 1 approved Q1-2017, outline design and costs are being prepared.",,,,,
350,CAS CONSTRUCTION,Dublin City,"26 New Street South, Dublin 8",8,Peter McVerry Trust Ltd,,"Stage 2 approved Q3-2017, full design/tender being prepared.",,,,
351,CAS CONSTRUCTION,Dublin City,"Broome Lodge, Dunmanus, Dublin 7",10,Cluid Housing Association,,,,,,Q4-2017
352,CAS CONSTRUCTION,Dublin City,"St Agatha's Court, North William Street, Dublin 1",11,Peter McVerry Trust Ltd,,,,,,Q2-2017
353,CAS CONSTRUCTION,Dublin City,"55B Arbour Hill, Dublin 7",18,Simon Community : Dublin Simon,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
354,CAS CONSTRUCTION,Dublin City,"St. Michael's Estate, Inchicore, Dublin 8 - Housing Pilot Project ",52,Circle Voluntary Housing Association Ltd,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
355,CAS CONSTRUCTION,Dublin City,"61 & 63 Rathoath Avenue, Finglas, Dublin 11",6,Arlington Novas Ireland Ltd,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
356,CAS CONSTRUCTION,Dublin City,"Shaw Street, Dublin 2",12,Peter McVerry Trust Ltd,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
357,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Dublin City,"Ayrfield, Malahide Road",150,*N/A,,,,Q3-2018,,
358,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Dublin City,Scribblestown,70,*N/A,,,,Q3-2018,,
359,CALF Construction,Fingal,"Ladyswell Road & Church Road, Mulhuddart, Dublin 15  (Phase 1)",65,Cluid Housing ,,,,Q3-2018,,
360,CALF Turnkey,Fingal,"Barnwell Woods, Hansfield, Dublin 15 (Phase 1)*",24,Túath Housing Association Ltd,,,,,Q2-2017,
361,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 1),5,Túath Housing Association Ltd,,,,,,Q2-2016
362,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 2),7,Túath Housing Association Ltd,,,,,,Q3-2016
363,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 3),7,Túath Housing Association Ltd,,,,,,Q4-2016
364,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 4),21,Túath Housing Association Ltd,,,,,,Q1-2017
365,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 5),8,Túath Housing Association Ltd,,,,,,Q2-2017
366,CALF Turnkey,Fingal,"Hampton Gardens, Balbriggan, Co. Dublin (Phase 1)*",4,Respond,,,,,Q2-2016,
367,CALF Turnkey,Fingal,"Lanesborough Close, Finglas, Dublin 11 (Phase 1)*",21,Cluid Housing ,,,,,Q1-2018,
368,CALF Turnkey,Fingal,"Martello Place, Balbriggan, Co Dublin  (Phase 1)",18,Respond,,,,,,Q3-2018
369,CALF Turnkey,Fingal,"Millers Glen, Oldtown, Swords, Co. Dublin (Phase 1)*",28,The Iveagh Trust,,,,,Q3-2018,
370,CALF Turnkey,Fingal,"Millers Glen, Phase 3, Oldtown, Swords (Phase 1)*",14,The Iveagh Trust,,,,,Q3-2018,
371,CALF Turnkey,Fingal,"Old Corduff Road, Blanchardstown, Dublin 15 (Phase 1)*",28,Respond,,,,Q3-2018,,
372,CALF Turnkey,Fingal,"Pappan Grove, Northwood, Santry, Dublin 9 (Phase 1)*",35,T£ath Housing Association Ltd,,,,,Q2-2018,
373,CALF Turnkey,Fingal,"St Marnock?s Bay, Portmarnock, Co Dublin   (Phase 1)*",10,Cluid Housing ,,,,,,Q4-2017
374,CALF Turnkey,Fingal,St Werburghs Court Drynam Rd Swords Co Dublin (Phase 1)*,18,Túath Housing Association Ltd,,,,,,Q4-2017
375,CALF Turnkey,Fingal,"Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",31,Cluid Housing ,,,,,Q1-2018,
376,CALF Turnkey,Fingal,"The Gallery, Donabate (Phase 1)",43,Oaklee Housing ,,,,,Q2-2017,
377,CALF Turnkey,Fingal,"The Hermitage, Balgriffin, Co Dublin  (Phase 1)*",54,Cluid Housing ,,,,,,Q4-2017
378,CALF Turnkey,Fingal,"Weavers Wood, Clonsilla Road, Clonsilla, Dublin 15  (Phase 1)*",33,Co-operative Housing Ireland,,,,,,Q3-2018
379,SHIP CONSTRUCTION TURNKEY,Fingal,"Blackmills Grove, Blakestown Road, Mulhuddard",10,*N/A,,,,,,Q2-2017
380,SHIP CONSTRUCTION TURNKEY,Fingal,"Balgriffin Grove, Malahide Road, Balgriffin",6,*N/A,,,,,,Q1-2017
381,SHIP CONSTRUCTION TURNKEY,Fingal,"Hansfield (Phase 1), Ongar, Dublin 15",16,*N/A,,,,,,Q1-2018
382,SHIP CONSTRUCTION TURNKEY,Fingal,"Hansfield (Phase 2), Ongar, Dublin 15",16,*N/A,,,,,,Q2-2018
383,SHIP CONSTRUCTION TURNKEY,Fingal,"Boroimhe, Swords",6,*N/A,,,,,,Q3-2018
384,SHIP CONSTRUCTION RAPID,Fingal,"Avondale, Mulhuddart, Dublin 15",42,*N/A,,,,,Q3-2018,
385,SHIP CONSTRUCTION RAPID,Fingal,"Hansfield, Ongar, Dublin 15",36,*N/A,,,,,,Q3-2017
386,SHIP CONSTRUCTION RAPID,Fingal,"Pinewood, Balbriggan",20,*N/A,,,,,,Q2-2018
387,SHIP CONSTRUCTION RAPID,Fingal,"Wellview, Mulhuddart",20,*N/A,,,,,,Q4-2017
388,SHIP CONSTRUCTION RAPID,Fingal,"Church Road, Mulhuddart, Dublin 15",22,*N/A,,,,"Stage 4 approved Q2 2018, the scheme is fully approved.",,
389,SHIP CONSTRUCTION,Fingal,"Rivermeade, St. Margarets",2,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
390,SHIP CONSTRUCTION,Fingal,Rowlestown,20,*N/A,,,,,Q2-2018,
391,SHIP CONSTRUCTION,Fingal,"Racecourse Commons, Lusk (Phase 2.3)",5,*N/A,,,,,,Q2-2018
392,SHIP CONSTRUCTION,Fingal,Castlelands Part View (Phase 3),24,*N/A,,,,,Q1-2017,
393,SHIP CONSTRUCTION,Fingal,"Rathbeale Road, Swords",24,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
394,SHIP CONSTRUCTION,Fingal,"The Grange, Ballyboughal (Part 1)",2,*N/A,,,,,,Q3-2017
395,SHIP CONSTRUCTION,Fingal,Cappaghfinn (Phase 1),14,*N/A,,,,,,Q2-2016
396,SHIP CONSTRUCTION,Fingal,"St. Cronan's Green, Swords",14,*N/A,,,,,,Q2-2016
397,SHIP CONSTRUCTION,Fingal,"St. Conan's Cottages, Swords",1,*N/A,,,,,,Q2-2016
398,SHIP CONSTRUCTION,Fingal,"Racecourse Commons, Lusk (Phase 2.1)",25,*N/A,,,,,,Q4-2017
