No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
,CALF Turnkey,DLR,"Clays Farm, Ballyogan Road (Phase 1)  (Phase 1)*",44,The Iveagh Trust,,,,,Q3-2017,
,CALF Construction,DLR,"Enniskerry Road, Sandyford, Dublin 18 (Phase 1)",105,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q1-2017,,
,CALF Turnkey,DLR,"Hyde Road, Belmont, Stepaside, Co. Dublin (Phase 1)",8,Respond,,,,,Q1-2016,
,CALF Turnkey,DLR,"Our Ladys Grove, Goatstown, Dublin 14 (Phase 1)*",2,Respond,,,,,Q1-2018,
,CALF Turnkey,DLR,"Stillorgan Gate, Kilmacud Road Upper, Co Dublin  (Phase 1)",4,Cluid Housing ,,,,,,Q4-2017
,CALF Turnkey,DLR,"Stillorgan Gate, Kilmacud Road Upper, Stillorgan, Co. Dublin (Phase 1)*",2,Cluid Housing ,,,,,Q1-2017,
,CALF Turnkey,DLR,"The Avenue, Glenside,  Carrickmines Green, Dublin 18 (Phase 1)",5,Fold Housing Association Ireland Ltd,,,,,Q2-2017,
,CALF Turnkey,DLR,"Woodbank, Dublin Rd, Shankill, Co Dublin  (Phase 1)",4,Cluid Housing ,,,,,,Q3-2017
,SHIP CONSTRUCTION TURNKEY,Donegal,"Gleann Na Greine, Mullindrait, Stranorlar",21,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION TURNKEY,Donegal,"Crievesmith, Letterkenny",36,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION TURNKEY,Donegal,"Radharc an Chuain, Ramelton",20,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Donegal,"Meadow Hill, Raphoe",11,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Donegal,"Radharc na Tra Breige, Malin (Phase 3)",8,*N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Donegal,"Cois Abhainn, St Johnston (Phase 2)",6,*N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Donegal,"Emerald Drive, Killybegs (Phase 6)",9,*N/A,,,,"Stage 4 approved in Q2-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION,Donegal,"Long Lane, Letterkenny",29,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Donegal,"Rockytown, Buncrana (Phase 1)",21,*N/A,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Donegal,Manorcunningham (Phase 2),8,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Donegal,"Abbots Wood, Carndonagh (Phase 2)",4,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Donegal,Ardara (Phase 3),8,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION,Donegal,Newtoncunningham,7,*N/A,,,,,Q1-2017,
,SHIP CONSTRUCTION,Donegal,"Railway Park, Drumrooske, Donegal Town",24,*N/A,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Donegal,"Ard Connell, Ardara (SRD)",1,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION,Donegal,Manorcunningham (Phase 1),2,*N/A,,,,,,Q2-2017
,CAS CONSTRUCTION,Donegal,"Glenrowan House, Drumkeen, Stranorlar",6,Apex Housing Association,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,CAS CONSTRUCTION,Donegal,"Willowbrook, Glencar, Letterkenny",40,Apex Housing Association,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Donegal,"Meenmore, Dungloe",15,County Donegal Parents and Friends Housing Association Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Donegal,"Railway Park, Drumrooske, Donegal Town",10,Oaklee Housing Trust,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Donegal,"Dunshenny House, Derry Road, Carndonagh",5,Apex Housing Association,,,,,,Q2-2018
,CAS CONSTRUCTION,Donegal,"Raphoe Road, Castlefinn",20,Habinteg Housing Association (Ireland) Ltd,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,CALF Turnkey,Donegal,"1-46 Ardrawer, Kiltoy, Letterkenny, Co. Donegal (Phase 1)",46,Cluid Housing ,,,,Scheme approved for CALF funding Q1-2018,,
,CALF Turnkey,Donegal,"Ballaghderg, Letterkenny, Co Donegal  (Phase 1)*",33,Respond,,,,Scheme approved for CALF funding Q3-2017,,
,CALF Turnkey,Donegal,"Forge Road, Donegal (Phase 1)",4,Cluid Housing ,,,,,,Q3-2016
,CALF Construction,Donegal,Post Tender - Ernedale Ballyshannon (Phase 1),11,Cluid Housing ,,,,,Q3-2017,
,CALF Construction,Donegal,"Raphoe Road, Castlefinn, Co. Donegal (Phase 1)",10,Habinteg Housing Association (Ireland) Ltd,,,,Scheme approved for CALF funding Q2-2018,,
,SHIP CONSTRUCTION TURNKEY,Dublin City,Prospecthill,58,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION RAPID,Dublin City,"Belcamp H, Dublin 17",38,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION RAPID,Dublin City,"Cherry Orchard, Ballyfermot",24,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION RAPID,Dublin City,"Mourne Road, Drimnagh",29,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION RAPID,Dublin City,"St Helena's Drive, Finglas",39,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION RAPID,Dublin City,"Poppintree, Ballymun",22,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION RAPID,Dublin City,"Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Cherry Orchard Site Ph1",54,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION RAPID,Dublin City,"Belcamp C, Dublin 17",16,*N/A,,"Stage 2 approved in Q3-2015, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,Dublin City,"Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Rathvilly Drive site",13,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION RAPID,Dublin City,"Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Woodbank Drive site",3,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Dublin City,Hampton Wood,25,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION,Dublin City,"Belcamp B, Dublin 17",12,*N/A,,"Stage 2 approved in Q3-2015, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Dublin City,"Bunratty Road Phase 1c, Dublin 17",70,*N/A,"Stage 1 approved in Q2-2015, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Dublin City,"Cornamona, Ballyfermot, Dublin 12",61,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Dublin City,"Infirmary Road, Dublin 7",38,*N/A,"Stage 1 approved in Q2-2015, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Dublin City,"North King Street, - Sean Foster Place, Dublin 7",30,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Dublin City,"Ballybough Road, Dublin 1",7,*N/A,,,,,Q1-2017,
,SHIP CONSTRUCTION,Dublin City,"St. Finbar's Court, Kilkieran Road, Dublin 7",46,*N/A,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Dublin City,Priory Hall,26,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,Dublin City,Priory Hall,9,*N/A,,,,,,Q1-2017
,REGENERATION,Dublin City,St. Teresa's Gardens,50,*N/A,"Stage 1 approved in Q3-2013, outline design and costs being prepared.",,,,,
,REGENERATION,Dublin City,"Dolphin House, Dublin 8 (Phase 1)",100,*N/A,,,,,Q4-2016,
,REGENERATION,Dublin City,Dominick Street (East side),72,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,REGENERATION,Dublin City,Sackville Avenue Cottages,12,*N/A,"Stage 1 approved in Q2-2016, outline design and costs being prepared.",,,,,
,REGENERATION,Dublin City,O'Devaney Gardens,56,*N/A,,,,"Stage 4 approved in Q2-2018, the scheme is fully approved.",,
,REGENERATION,Dublin City,Charlemont,79,*N/A,,,,,,Q4-2017
,REGENERATION,Dublin City,Maxwell Road,9,*N/A,,,,,,Q2-2016
,REGENERATION,Dublin City,"Buttercup, Darndale",19,*N/A,,,,,,Q4-2017
,REGENERATION,Dublin City,"Buttercup, Darndale",9,*N/A,,,,,,Q1-2018
,REGENERATION,Dublin City,"Buttercup, Darndale",7,*N/A,,,,,,Q2-2018
,CAS CONSTRUCTION,Dublin City,"38/39 Bolton Street, Dublin 1",8,Arlington Novas Ireland Ltd,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Dublin City,Beech Hill,19,Royal Hospital Donnybrook Voluntary Housing Association Ltd,,,,,Q4-2017,
,CAS CONSTRUCTION,Dublin City,"Ellis Court, Dublin",23,Túath Housing Association Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Dublin City,"Martanna House, High Park, Grace Park Road,Dublin 9",8,Respond,,,,,Q4-2017,
,CAS CONSTRUCTION,Dublin City,"1 - 2 Rafter's Lane, Dublin 12",11,Walkinston Housing Association Ltd (WALK),,,,,Q2-2018,
,CAS CONSTRUCTION,Dublin City,180-187 Townsend Street,18,Peter McVerry Trust Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Dublin City,"Old Kilmainham Road, Dublin 8",11,Arlington Novas Ireland Ltd,"Stage 1 approved in Q1-2017, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Dublin City,"26 New Street South, Dublin 8",8,Peter McVerry Trust Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Dublin City,"Broome Lodge, Dunmanus, Dublin 7",10,Cluid Housing Association,,,,,,Q4-2017
,CAS CONSTRUCTION,Dublin City,"St Agatha's Court, North William Street, Dublin 1",11,Peter McVerry Trust Ltd,,,,,,Q2-2017
,CAS CONSTRUCTION,Dublin City,"55B Arbour Hill, Dublin 7",18,Simon Community : Dublin Simon,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Dublin City,"St. Michael's Estate, Inchicore, Dublin 8 - Housing Pilot Project ",52,Circle Voluntary Housing Association Ltd,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Dublin City,"61 & 63 Rathoath Avenue, Finglas, Dublin 11",6,Arlington Novas Ireland Ltd,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Dublin City,"Shaw Street, Dublin 2",12,Peter McVerry Trust Ltd,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,CALF Turnkey,Dublin City,"11 - 13 Crumlin Village, Dublin 12 (Phase 1)",3,Cluid Housing ,,,,,,Q2-2017
,CALF Turnkey,Dublin City,"11 - 13 Crumlin Village, Dublin 12 (Phase 2)",2,Cluid Housing ,,,,,,Q3-2017
,CALF Turnkey,Dublin City,"175-176 North Strand Road, Five Lamps, Dublin 1 (Phase 1)",10,Co-operative Housing Ireland,,,,,Q1-2018,
,CALF Construction,Dublin City,"84 North King Street, Dublin 7  (Phase 1)",30,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q4-2017,,
,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 1)",14,Túath Housing Association Ltd,,,,,,Q4-2016
,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 2)",21,Túath Housing Association Ltd,,,,,,Q1-2017
,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 3)",10,Túath Housing Association Ltd,,,,,,Q2-2017
,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 4)",3,Túath Housing Association Ltd,,,,,,Q3-2017
,CALF Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 5)",1,Túath Housing Association Ltd,,,,,Q3 2015,
,CALF Construction,Dublin City,"Annamore Court, Ballyfermot (Phase 1)",70,The Iveagh Trust,,,,,,Q2-2017
,CALF Construction,Dublin City, Ballygall Road East phase 2 (Phase 1),11,Fold Housing Association Ireland Ltd,,,,,,Q1-2016
,CALF Construction,Dublin City,"Bethany House, Gilford Road, Sandymount, Dublin 4 (Phase 1)",62,Cluid Housing ,,,,Scheme approved for CALF funding Q2-2018,,
,CALF Construction,Dublin City,"Block A, Jamestown Court, Dublin 8 (Phase 1)",9,ALONE,,,,Scheme approved for CALF funding Q2-2018,,
,CALF Construction,Dublin City,"Broome Lodge,
Dunmanus Court, Cabra (Phase 1)",33,Cluid Housing ,,,,,,Q4-2017
,CALF Turnkey,Dublin City,"Camac Place, Bluebell, Dublin 12  (Phase 1)",5,Oaklee Housing ,,,,Scheme approved for CALF funding Q2-2017,,
,CALF Turnkey,Dublin City,"Chanel College, Coolock Village, Malahide Road, Dublin 5  (Phase 1)",16,Respond,,,,,,Q4-2017
,CALF Turnkey,Dublin City,"Clongriffin, Dublin 13 (Phase 1)*",84,The Iveagh Trust,,,,,Q3-2017,
,CALF Construction,Dublin City,"Harolds Cross, Dublin 6 (Phase 1)",28,Focus Ireland,,,,,,Q4-2016
,CALF Turnkey,Dublin City,"Merville Court, Merville Avenue, Fairview (Phase 1)",5,Co-operative Housing Ireland,,,,,,Q1-2017
,CALF Turnkey,Dublin City,"Millrose House, Bluebell Avenue, Dublin 12 (Phase 1)",8,Cluid Housing ,,,,,,Q4-2017
,CALF Construction,Dublin City,"Orchard Lawns, Ballyfermot (Phase 1)",24,Co-operative Housing Ireland,,,,,Q4-2016,
,CALF Construction,Dublin City,"Orchard Lawns, Ballyfermot (Phase 2)",48,Co-operative Housing Ireland,,,,,Q4-2016,
,CALF Construction,Dublin City,Post Tender - 5-6 Johns Lane West Dublin 8 (Phase 1),31,Focus Ireland,,,,,Q2-2017,
,CALF Construction,Dublin City,"POST TENDER - Poplar Row, Ballybough, Dublin 3
 (Phase 1)",29,Oaklee Housing ,,,,Scheme approved for CALF funding Q2-2017,,
,CALF Construction,Dublin City,"Post Tender - Wad River Close Phase 2, Ballymun, Dublin 9  (Phase 1)",9,Cluid Housing ,,,,Scheme approved for CALF funding Q4-2017,,
,CALF Construction,Dublin City,"POST TENDER Dolphin Park, Rialto, Dublin 8 (Phase 1)",43,Fold Housing Association Ireland Ltd,,,,,Q2-2018,
,CALF Construction,Dublin City,"Revised - Dominic Place, Dublin (Phase 1)",9,The Paddy McGrath Housing Project,,,,Scheme approved for CALF funding Q2-2017,,
,CALF Construction,Dublin City,"Revised - St Mary?s Mansions, Dublin 1 (Phase 1)",80,Cluid Housing ,,,,,Q4-2017,
,CALF Construction,Dublin City,"Revised Post Tender - Raleigh Square, Crumlin (Phase 1)",33,Túath Housing Association Ltd,,,,,Q2-2017,
,CALF Construction,Dublin City,"Richmond Road, Dublin 9 (Phase 1)",40,Co-operative Housing Ireland,,,,,Q2-2017,
,CALF Turnkey,Dublin City,"St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",97,Fold Housing Association Ireland Ltd,,,,,Q1-2017,
,CALF Turnkey,Dublin City,"Stormanstown Hall, Ballymun Road, (revised) (Phase 1)",42,Oaklee Housing ,,,,,Q4-2016,
,CALF Turnkey,Dublin City,"Thornwood, Beaumont (Phase 1)",18,Túath Housing Association Ltd,,,,,,Q2-2016
,CALF Turnkey,Dublin City,"Thornwood, Beaumont (Phase 2)",28,Túath Housing Association Ltd,,,,,,Q4-2016
,CALF Turnkey,Dublin City,"Thornwood, Beaumont (Phase 3)",14,Túath Housing Association Ltd,,,,,,Q1-2017
,CALF Turnkey,Dublin City,"Thornwood, Beaumont (Phase 4)",8,Túath Housing Association Ltd,,,,,,Q1-2017
,CALF Turnkey,Dublin City,"Tonlegee Road, Dublin 5  (Phase 1)",47,Fold Housing Association Ireland Ltd,,,,,Q4-2017,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Dublin City,"Ayrfield, Malahide Road",150,*N/A,,,Q1-2018,,,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Dublin City,Scribblestown,70,*N/A,,,Q1-2018,,,
,CALF Turnkey,Dublin City,"Block A Northbank, Castleforbes, Dublin 1ÿ (Phase 1)*",26,Túath Housing Association Ltd,,,,,,Q2-2018
,SHIP CONSTRUCTION TURNKEY,Fingal,"Blackmills Grove, Blakestown Road, Mulhuddard",10,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION TURNKEY,Fingal,"Balgriffin Grove, Malahide Road, Balgriffin",6,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION TURNKEY,Fingal,"Hansfield (Phase 1), Ongar, Dublin 15",16,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Fingal,"Hansfield (Phase 2), Ongar, Dublin 15",16,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION RAPID,Fingal,"Avondale, Mulhuddart, Dublin 15",42,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION RAPID,Fingal,"Hansfield, Ongar, Dublin 15",36,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION RAPID,Fingal,"Pinewood, Balbriggan",20,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION RAPID,Fingal,"Wellview, Mulhuddart",20,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION RAPID,Fingal,"Church Road, Mulhuddart, Dublin 15",22,*N/A,,,,"Stage 4 approved in Q2-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION,Fingal,"Rivermeade, St. Margarets",2,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Fingal,Rowlestown,20,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Fingal,"Racecourse Common, Lusk (Phase 2.3)",5,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,Fingal,"Racecourse Common, Lusk (Phase 2.3)",29,*N/A,,,,,Q4-2016,
,SHIP CONSTRUCTION,Fingal,Castlelands Part View (Phase 3),24,*N/A,,,,,Q1-2017,
,SHIP CONSTRUCTION,Fingal,"Rathbeale Road, Swords",24,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Fingal,"The Grange, Ballyboughal (Part 1)",2,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Fingal,Cappaghfinn (Phase 1),14,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Fingal,"St. Cronan's Green, Swords",14,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Fingal,"St. Conan's Cottages, Swords",1,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Fingal,"Racecourse Common, Lusk (Phase 2.1)",25,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Fingal,"The Grange, Ballyboughal (Part 2)",6,*N/A,,,,,Q4-2016,
,SHIP CONSTRUCTION,Fingal,"Racecourse Commons, Lusk (Phase 2.2) ",15,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Fingal,"Redevelopment of Community Centre, Pinewood, Balbriggan",2,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Fingal,Killhedge Lane Dun Emer,48,Túath Housing Association Ltd,"Stage 1 approved in Q1-2017, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Fingal,"Ravenswood, North Road, Finglas (Phase 1)",6,Peter McVerry Trust Ltd,,,,,Q1-2018,
,CAS CONSTRUCTION,Fingal,"22 College Street, Baldoyle",4,Cluid Housing Association,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,CAS CONSTRUCTION,Fingal,"Darcystown, Ringfort, Balrothery",9,North East Housing Association Ltd,,,,,,Q3-2017
,CAS CONSTRUCTION,Fingal,"Estuary Road, Malahide",8,Society of Saint Vincent de Paul,,,,,,Q2-2018
,CAS CONSTRUCTION,Fingal,"Ravenswood, North Road, Finglas (Phase 2)",2,Peter McVerry Trust Ltd,,,,"Stage 4 approved in Q4-2017, the scheme is fully approved.",,
,CALF Turnkey,Fingal,"19, 20, 21 and 24 Hampton Gardens, Balbriggan, Co. Dublin (Phase 1)*",4,Respond,,,,,Q2-2016,
,CALF Turnkey,Fingal,"Barnwell Woods, Hansfield, Dublin 15 (Phase 1)*",24,Túath Housing Association Ltd,,,,,Q2-2017,
,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 1),5,Túath Housing Association Ltd,,,,,,Q2-2016
,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 2),7,Túath Housing Association Ltd,,,,,,Q3-2016
,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 3),7,Túath Housing Association Ltd,,,,,,Q4-2016
,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 4),21,Túath Housing Association Ltd,,,,,,Q1-2017
,CALF Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 5),8,Túath Housing Association Ltd,,,,,,Q2-2017
,CALF Construction,Fingal,"Ladyswell Road & Church Road, Mulhuddart, Dublin 15  (Phase 1)",65,Cluid Housing ,,,,Scheme approved for CALF funding Q1-2018,,
,CALF Turnkey,Fingal,"Lanesborough Close, Finglas, Dublin 11 (Phase 1)*",21,Cluid Housing ,,,,,Q1-2018,
,CALF Turnkey,Fingal,"Martello Place, Balbriggan, Co Dublin  (Phase 1)",18,Respond,,,,,Q3-2017,
,CALF Turnkey,Fingal,"Millers Glen, Oldtown, Swords, Co. Dublin (Phase 1)",28,The Iveagh Trust,,,,Scheme approved for CALF funding Q2-2017,,
,CALF Turnkey,Fingal,"Millers Glen, Phase 3, Oldtown, Swords (Phase 1)",14,The Iveagh Trust,,,,Scheme approved for CALF funding Q1-2018,,
,CALF Turnkey,Fingal,"Pappan Grove, Northwood, Santry, Dublin 9 (Phase 1)*",35,Túath Housing Association Ltd,,,,,Q2-2018,
,CALF Turnkey,Fingal,"St Marnock?s Bay, Portmarnock, Co Dublin   (Phase 1)",10,Cluid Housing ,,,,,,Q4-2017
,CALF Turnkey,Fingal,St Werburghs Court Drynam Rd Swords Co Dublin (Phase 1),18,Túath Housing Association Ltd,,,,,,Q4-2017
,CALF Turnkey,Fingal,"Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",31,Cluid Housing ,,,,,Q1-2018,
,CALF Turnkey,Fingal,"The Gallery, Donabate (Phase 1)",43,Oaklee Housing ,,,,,Q2-2017,
,CALF Turnkey,Fingal,"The Hermitage, Balgriffin, Co Dublin  (Phase 1)",54,Cluid Housing ,,,,,,Q4-2017
,CALF Turnkey,Fingal,"Weavers Walk, Clonsilla Road, Clonsilla, Dublin 15  (Phase 1)",33,Co-operative Housing Ireland,,,,,Q1-2017,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Galway,Ballyburke,74,*N/A,,,Q1-2018,,,
,SHIP CONSTRUCTION,Galway City,Ballymoneen Road (Phase 2),78,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Galway City,Ballymoneen Road (Phase 1),14,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,Galway City,"Ballinfoile Park, Headford Road (Infill Units)",9,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Galway City,Corrib Park (Infill Units),3,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Galway City,"Castlepark, Ballybane (Infill Units)",4,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Galway City,"Monivea Road, Ballybaan More, Galway.",7,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Galway City,"Monivea Road, Ballybaan More, Galway",59,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Galway City,97/98 Rockfield,4,Carraig Dubh Housing Association,,,,,,Q1-2018
,CAS CONSTRUCTION,Galway City,"Cul Garrai, Rahoon",6,Peter Triest Housing Association Ltd,"Stage 1 approved in Q3-2015, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Galway City,47 Forster Street,9,Cope Galway,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,CALF Turnkey,Galway City,"77, 80 and 81 Maoilin, Ballymoneen Road, Knocknacarra, Galway CIty (Phase 1)*",3,Túath Housing Association Ltd,,,,,Q3-2017,
,CALF Turnkey,Galway City,"Belmont, Renmore, Galway City (Phase 1)",16,Co-operative Housing Ireland,,,,,Q1-2018,
,CALF Turnkey,Galway City,"Block E, Sraith Fhada, Doughiska, Galway City (Phase 1)",14,Co-operative Housing Ireland,,,,,Q4-2017,
,CALF Turnkey,Galway City,"Boireann Beag, Ros Cam, Galway (Phase 1)",16,Cluid Housing ,,,,,,Q4-2016
,CALF Turnkey,Galway City,"Castlegar Road, Galway (Phase 1)",81,Respond,,,,,Q2-2018,
,CALF Turnkey,Galway City,"Cnoc na Ri, Clybaun Road, Galway  (Phase 1)",2,Cluid Housing ,,,,,,Q3-2017
,CALF Turnkey,Galway City,"Maigh Rua, Doughiska, Galway  (Phase 1)",23,Co-operative Housing Ireland,,,,,,Q4-2017
,CALF Turnkey,Galway City,"Maoilin, Ballymoneen Road, Galway (Phase 1)*",2,Túath Housing Association Ltd,,,,,,Q1-2017
,CALF Turnkey,Galway City,"Maoilin, Ballymoneen Road, Galway (Phase 2)*",4,Túath Housing Association Ltd,,,,,,Q4-2017
,CALF Turnkey,Galway City,"Murrough, Renmore, Galway  (Phase 1)",8,Cluid Housing ,,,,,Q1-2018,
,CALF Turnkey,Galway City,"Murrough, Renmore, Galway  (Phase 2)",8,Cluid Housing ,,,,,Q1-2018,
,CALF Turnkey,Galway City,"Murrough, Renmore, Galway  (Phase 3)",4,Cluid Housing ,,,,,Q1-2018,
,CALF Turnkey,Galway City,"Reilean, Roscam, Block 5 Galway (Phase 1)",12,Túath Housing Association Ltd,,,,,,Q2-2017
,CALF Turnkey,Galway City,"Reilean, Roscam,Block 4 Galway (Phase 1)",12,Túath Housing Association Ltd,,,,,,Q2-2017
,SHIP CONSTRUCTION,Galway County,"Esker Fields, Ballinasloe",2,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Galway County,"Garbally Drive, Ballinasloe",10,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Galway County,"Weir Road, Tuam",30,*N/A,,,"Stage 3 approved in Q3-2017, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Galway County,"Culleen, Carraroe, Connemara",6,*N/A,"Stage 1 approved in Q2-2017, outline design and costs being prepared.",,,,,
